
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:25:00:FF:94:73, 2024-12-20 21:44:15, 2024-12-20 21:45:14, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DE:4E:9E:06:BD:41, 2024-12-20 21:44:15, 2024-12-20 21:45:14,  6, 130, WPA2, CCMP, PSK, -66,       26,       15,   0.  0.  0.  0,  12, Android s10+, 
04:F0:21:24:2B:11, 2024-12-20 21:44:15, 2024-12-20 21:45:07,  6,  -1, OPN, ,   ,  -1,        0,        5,  10. 10.  5.182,   0, , 
06:A0:68:AD:F3:0E, 2024-12-20 21:44:24, 2024-12-20 21:44:54,  6,  -1, WPA, ,   , -82,        0,        1,   0.  0.  0.  0,   0, , 
08:9D:F4:89:69:35, 2024-12-20 21:44:29, 2024-12-20 21:44:58,  6,  -1, OPN, ,   ,  -1,        0,      388,   0.  0.  0.  0,   0, , 
B4:82:FE:14:FF:BF, 2024-12-20 21:44:29, 2024-12-20 21:44:34,  6, 130, WPA2, CCMP, PSK, -84,        2,        0,   0.  0.  0.  0,   6, CLUB-2, 
70:FC:8F:43:86:02, 2024-12-20 21:44:40, 2024-12-20 21:44:40,  6, 195, WPA2, CCMP TKIP, MGT, -78,        1,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
48:B4:C3:EA:98:A2, 2024-12-20 21:44:41, 2024-12-20 21:44:42,  6,  -1, WPA, ,   , -74,        0,        5,   0.  0.  0.  0,   0, , 
48:B4:C3:EA:98:A0, 2024-12-20 21:44:42, 2024-12-20 21:44:42,  6, 130, OPN, ,   , -76,        1,        0,   0.  0.  0.  0,  10, OKKOHOTELS, 
78:0C:F0:EF:83:A1, 2024-12-20 21:44:45, 2024-12-20 21:44:57,  6, 195, OPN, ,   , -79,       30,        0,   0.  0.  0.  0,  18, _SNCF gare-gratuit, 
78:0C:F0:EF:83:A0, 2024-12-20 21:44:47, 2024-12-20 21:44:56,  6, 195, WPA2, CCMP, MGT, -74,       27,        0,   0.  0.  0.  0,   4, WIMI, 
40:65:A3:E2:0C:3F, 2024-12-20 21:44:50, 2024-12-20 21:44:50,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -73,        1,        0,   0.  0.  0.  0,  16, Numericable-0c39, 
70:FC:8F:9A:07:D0, 2024-12-20 21:45:07, 2024-12-20 21:45:07,  6, 195, WPA2, CCMP TKIP, MGT, -78,        1,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
D4:DC:09:5B:DC:E9, 2024-12-20 21:45:12, 2024-12-20 21:45:12,  6, 260, WPA2, CCMP, PSK, -82,        1,        0,   0.  0.  0.  0,  12, FRLM-PARTNER, 
D4:DC:09:5B:DC:E1, 2024-12-20 21:45:13, 2024-12-20 21:45:13,  6, 260, WPA2, CCMP, PSK, -78,        1,        0,   0.  0.  0.  0,  14, lightweight_PC, 
6A:0C:73:5E:FE:1C, 2024-12-20 21:45:14, 2024-12-20 21:45:14,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
1E:4B:F8:00:13:7F, 2024-12-20 21:44:15, 2024-12-20 21:44:15, -47,        1, (not associated) ,
A2:7E:8B:CB:72:3F, 2024-12-20 21:44:15, 2024-12-20 21:45:14, -60,      276, 00:25:00:FF:94:73,
B2:1E:65:93:B1:DD, 2024-12-20 21:44:15, 2024-12-20 21:44:15, -52,        1, (not associated) ,
AE:88:8C:70:4E:E3, 2024-12-20 21:44:15, 2024-12-20 21:45:14, -66,      456, 00:25:00:FF:94:73,
8A:57:CC:66:94:17, 2024-12-20 21:44:15, 2024-12-20 21:44:15, -76,        1, (not associated) ,
CE:F5:3C:3F:BE:38, 2024-12-20 21:44:15, 2024-12-20 21:45:14, -54,      205, 00:25:00:FF:94:73,
9C:2F:9D:78:48:91, 2024-12-20 21:44:15, 2024-12-20 21:45:07, -84,        9, 04:F0:21:24:2B:11,
AA:66:75:FD:70:47, 2024-12-20 21:44:16, 2024-12-20 21:44:16, -72,        1, (not associated) ,
BA:60:1A:A2:92:4D, 2024-12-20 21:44:16, 2024-12-20 21:44:16, -41,        1, (not associated) ,
9A:76:D8:14:A4:41, 2024-12-20 21:44:17, 2024-12-20 21:44:17, -52,        1, (not associated) ,
9A:A1:E7:80:93:F8, 2024-12-20 21:44:19, 2024-12-20 21:44:19, -65,        1, (not associated) ,
32:17:D7:0A:5E:BE, 2024-12-20 21:44:19, 2024-12-20 21:44:19, -36,        2, (not associated) ,
A2:24:7F:C0:5A:8C, 2024-12-20 21:44:23, 2024-12-20 21:44:54, -84,        4, 04:F0:21:24:2B:11,
A2:15:1B:DE:35:3B, 2024-12-20 21:44:24, 2024-12-20 21:44:54, -75,       11, 06:A0:68:AD:F3:0E,
D6:B3:BE:AE:3B:BE, 2024-12-20 21:44:26, 2024-12-20 21:44:26, -48,        1, (not associated) ,
08:9D:F4:89:69:35, 2024-12-20 21:44:26, 2024-12-20 21:45:14, -66,     1102, DE:4E:9E:06:BD:41,Android s10+
CE:A7:B8:23:3D:DD, 2024-12-20 21:44:26, 2024-12-20 21:44:26, -48,        1, (not associated) ,
0E:A2:6F:A7:AD:8A, 2024-12-20 21:44:28, 2024-12-20 21:44:28, -37,        2, (not associated) ,
96:FD:53:E0:84:9C, 2024-12-20 21:44:28, 2024-12-20 21:44:28, -39,        4, (not associated) ,
FA:FF:74:72:5C:FE, 2024-12-20 21:44:34, 2024-12-20 21:44:34, -44,        2, (not associated) ,
D6:D2:E5:34:9B:81, 2024-12-20 21:44:35, 2024-12-20 21:45:07, -82,       19, 04:F0:21:24:2B:11,
6E:33:CC:60:A0:A6, 2024-12-20 21:44:37, 2024-12-20 21:44:37, -42,        2, (not associated) ,
FE:FF:48:73:53:5D, 2024-12-20 21:44:37, 2024-12-20 21:44:37, -41,        1, (not associated) ,
E6:5F:0F:DC:3B:3F, 2024-12-20 21:44:37, 2024-12-20 21:44:37, -67,        1, (not associated) ,
5E:9D:C6:88:5C:8C, 2024-12-20 21:44:38, 2024-12-20 21:44:38, -67,        1, (not associated) ,
46:C6:98:E9:07:DE, 2024-12-20 21:44:41, 2024-12-20 21:44:41, -45,        1, (not associated) ,
