Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;00:25:00:FF:94:73;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Dec 20 21:44:15 2024;Fri Dec 20 21:45:14 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Android s10+;DE:4E:9E:06:BD:41;;6;No;WPA2,AES-CCM;No;130.0;0;26;0;15;0;0;15;;;Fri Dec 20 21:44:15 2024;Fri Dec 20 21:45:14 2024;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;04:F0:21:24:2B:11;;6;No;OPN,None;No;-1.0;0;0;0;5;0;0;5;;;Fri Dec 20 21:44:15 2024;Fri Dec 20 21:45:07 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.10.5.182;
4;infrastructure;;06:A0:68:AD:F3:0E;;6;No;WPA,None;No;-1.0;0;0;0;1;0;0;1;;;Fri Dec 20 21:44:24 2024;Fri Dec 20 21:44:54 2024;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;08:9D:F4:89:69:35;;6;No;OPN,None;No;-1.0;0;0;0;388;0;0;388;;;Fri Dec 20 21:44:29 2024;Fri Dec 20 21:44:58 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;CLUB-2;B4:82:FE:14:FF:BF;;6;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Fri Dec 20 21:44:29 2024;Fri Dec 20 21:44:34 2024;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;48:B4:C3:EA:98:A2;;6;No;WPA,None;No;-1.0;0;0;0;5;0;0;5;;;Fri Dec 20 21:44:41 2024;Fri Dec 20 21:44:42 2024;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;_SNCF gare-gratuit;78:0C:F0:EF:83:A1;;6;No;OPN,None;No;195.0;0;30;0;0;0;0;0;;;Fri Dec 20 21:44:45 2024;Fri Dec 20 21:44:57 2024;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;WIMI;78:0C:F0:EF:83:A0;;6;No;WPA2,AES-CCM;No;195.0;0;27;0;0;0;0;0;;;Fri Dec 20 21:44:47 2024;Fri Dec 20 21:44:56 2024;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;6A:0C:73:5E:FE:1C;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Dec 20 21:45:14 2024;Fri Dec 20 21:45:14 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
