
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
04:F0:21:31:35:72, 2024-12-20 21:47:58, 2024-12-20 21:47:58,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
04:F0:21:24:2B:11, 2024-12-20 21:47:40, 2024-12-20 21:48:44,  6, 195, OPN, ,   , -86,        1,        4,  10. 10.  5.182,  16, _SNCF_WIFI_INOUI, 
06:A0:68:AD:F3:0E, 2024-12-20 21:47:57, 2024-12-20 21:48:57,  6,  -1, WPA, ,   , -80,        0,        1,   0.  0.  0.  0,   0, , 
DE:4E:9E:06:BD:41, 2024-12-20 21:47:32, 2024-12-20 21:48:59,  6, 130, WPA2, CCMP, PSK, -69,       22,        7,   0.  0.  0.  0,  12, Android s10+, 
00:25:00:FF:94:73, 2024-12-20 21:47:31, 2024-12-20 21:49:00,  6,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
FE:31:DA:F4:D6:EB, 2024-12-20 21:47:39, 2024-12-20 21:47:39, -59,        1, (not associated) ,
4E:BB:0E:F6:10:67, 2024-12-20 21:47:58, 2024-12-20 21:47:58, -75,        2, (not associated) ,
7A:37:A6:E6:85:A2, 2024-12-20 21:47:59, 2024-12-20 21:47:59, -57,        1, (not associated) ,
06:EF:0B:76:DC:24, 2024-12-20 21:47:59, 2024-12-20 21:47:59, -55,        1, (not associated) ,
4C:03:4F:BC:1A:15, 2024-12-20 21:48:01, 2024-12-20 21:48:01, -87,        1, 04:F0:21:24:2B:11,
C2:44:F0:10:F8:B4, 2024-12-20 21:48:03, 2024-12-20 21:48:03, -87,        1, (not associated) ,
E6:BB:85:F3:FC:18, 2024-12-20 21:48:59, 2024-12-20 21:48:59, -85,        1, 00:25:00:FF:94:73,
D6:D2:E5:34:9B:81, 2024-12-20 21:47:40, 2024-12-20 21:48:44, -84,        7, 04:F0:21:24:2B:11,
A2:15:1B:DE:35:3B, 2024-12-20 21:47:57, 2024-12-20 21:48:57, -84,        2, 06:A0:68:AD:F3:0E,
3A:92:1C:77:5B:90, 2024-12-20 21:47:36, 2024-12-20 21:48:33, -83,        2, 00:25:00:FF:94:73,
46:6E:84:CD:10:91, 2024-12-20 21:48:28, 2024-12-20 21:48:28, -83,        1, 00:25:00:FF:94:73,
C2:9D:E1:8D:62:24, 2024-12-20 21:48:22, 2024-12-20 21:48:22, -82,        1, 04:F0:21:24:2B:11,
9C:2F:9D:78:48:91, 2024-12-20 21:47:48, 2024-12-20 21:48:40, -79,        7, 04:F0:21:24:2B:11,
FE:51:28:10:B3:93, 2024-12-20 21:48:06, 2024-12-20 21:48:06, -78,        1, (not associated) ,
02:3C:C0:A3:0F:CC, 2024-12-20 21:48:31, 2024-12-20 21:48:31, -75,        1, (not associated) ,
A2:FC:22:C8:BA:DE, 2024-12-20 21:47:32, 2024-12-20 21:48:55, -72,       24, DE:4E:9E:06:BD:41,
8E:40:8C:41:22:C9, 2024-12-20 21:48:00, 2024-12-20 21:48:00, -71,        2, (not associated) ,
08:9D:F4:89:69:35, 2024-12-20 21:47:33, 2024-12-20 21:48:46, -69,        9, DE:4E:9E:06:BD:41,
8A:1B:FC:D2:D6:71, 2024-12-20 21:48:47, 2024-12-20 21:48:47, -69,        1, (not associated) ,
AE:88:8C:70:4E:E3, 2024-12-20 21:47:31, 2024-12-20 21:49:00, -68,      535, 00:25:00:FF:94:73,
1E:DE:D9:DD:EA:FD, 2024-12-20 21:48:59, 2024-12-20 21:48:59, -61,        2, 00:25:00:FF:94:73,
42:31:63:28:F2:00, 2024-12-20 21:48:56, 2024-12-20 21:48:56, -60,        1, (not associated) ,
22:A9:3D:BD:D6:81, 2024-12-20 21:48:21, 2024-12-20 21:48:21, -57,        1, (not associated) ,
8A:E7:7C:E1:6B:27, 2024-12-20 21:48:44, 2024-12-20 21:48:44, -57,        1, (not associated) ,
D6:F1:66:6B:04:6F, 2024-12-20 21:48:00, 2024-12-20 21:48:01, -56,        3, (not associated) ,
EA:2A:C6:1C:9A:3C, 2024-12-20 21:48:01, 2024-12-20 21:48:01, -56,        2, (not associated) ,
CE:F5:3C:3F:BE:38, 2024-12-20 21:47:32, 2024-12-20 21:49:00, -55,      322, 00:25:00:FF:94:73,
A2:7E:8B:CB:72:3F, 2024-12-20 21:47:32, 2024-12-20 21:49:00, -55,      299, 00:25:00:FF:94:73,
E2:0D:9C:A4:9A:92, 2024-12-20 21:48:48, 2024-12-20 21:48:48, -54,        1, (not associated) ,
8A:7A:84:2C:F9:53, 2024-12-20 21:48:06, 2024-12-20 21:48:06, -52,        1, (not associated) ,
A2:3F:38:4E:48:1E, 2024-12-20 21:48:11, 2024-12-20 21:48:11, -51,        2, (not associated) ,
0E:95:B5:0F:9C:7D, 2024-12-20 21:48:06, 2024-12-20 21:48:06, -45,        3, (not associated) ,
36:29:CA:F8:B8:04, 2024-12-20 21:48:08, 2024-12-20 21:48:08, -40,        5, (not associated) ,
82:23:3D:FF:4A:7E, 2024-12-20 21:48:28, 2024-12-20 21:48:28, -37,        1, (not associated) ,
9E:DB:A4:FE:D1:FE, 2024-12-20 21:48:32, 2024-12-20 21:48:32, -21,        1, (not associated) ,

