
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:25:00:FF:94:73, 2024-12-20 21:50:15, 2024-12-20 21:52:34,  6,  -1, OPN, ,   ,  -1,        0,        4,   0.  0.  0.  0,   0, , 
DE:4E:9E:06:BD:41, 2024-12-20 21:50:15, 2024-12-20 21:52:02,  6, 130, WPA2, CCMP, PSK, -57,       15,        6,   0.  0.  0.  0,  12, Android s10+, 
08:9D:F4:89:69:35, 2024-12-20 21:50:16, 2024-12-20 21:50:21,  6,  -1, OPN, ,   ,  -1,        0,       66,   0.  0.  0.  0,   0, , 
04:F0:21:24:2B:11, 2024-12-20 21:50:17, 2024-12-20 21:52:34,  6,  -1, OPN, ,   ,  -1,        0,        3,  10. 10.  5.182,   0, , 
06:A0:68:AD:F3:0E, 2024-12-20 21:50:21, 2024-12-20 21:52:12,  6,  -1, WPA, ,   , -75,        0,        1,   0.  0.  0.  0,   0, , 
4A:9E:BD:B4:42:FC, 2024-12-20 21:50:36, 2024-12-20 21:50:36,  6,  65, WPA2, CCMP, PSK, -70,        1,        0,   0.  0.  0.  0,  29, DIRECT-FC-HP ENVY 6400 series, 
E4:9E:12:EE:78:50, 2024-12-20 21:50:38, 2024-12-20 21:50:38,  6, 195, WPA2, CCMP, PSK, -67,        1,        0,   0.  0.  0.  0,  14, Freebox-AE6738, 
8C:97:EA:9C:91:80, 2024-12-20 21:50:55, 2024-12-20 21:50:55,  6,  -1, WPA, ,   ,  -1,        0,        4,   0.  0.  0.  0,   0, , 
F8:08:4F:2C:F6:30, 2024-12-20 21:51:11, 2024-12-20 21:51:11,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
2E:58:B9:2A:F6:87, 2024-12-20 21:51:15, 2024-12-20 21:51:16,  6,  65, WPA2, CCMP, PSK, -79,        1,        0,   0.  0.  0.  0,  32, DIRECT-87-HP OfficeJet Pro 8120e, 
04:F0:21:4C:E9:74, 2024-12-20 21:51:21, 2024-12-20 21:51:21,  6,  -1, OPN, ,   ,  -1,        0,        1,  10. 54.  5.112,   0, , 
CE:C7:59:4B:E2:96, 2024-12-20 21:51:21, 2024-12-20 21:51:21,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -51,        1,        0,   0.  0.  0.  0,  14, , 
04:F0:21:4C:51:D0, 2024-12-20 21:51:22, 2024-12-20 21:51:22,  6, 195, OPN, ,   , -65,        1,        0,   0.  0.  0.  0,  16, _SNCF_WIFI_INOUI, 
4E:2D:B4:09:CA:6A, 2024-12-20 21:51:22, 2024-12-20 21:51:22,  6,  -1, WPA, ,   , -64,        0,        1,   0.  0.  0.  0,   0, , 
E2:90:D2:98:30:DC, 2024-12-20 21:51:24, 2024-12-20 21:51:24,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
04:F0:21:32:46:8B, 2024-12-20 21:51:24, 2024-12-20 21:51:24,  6,  -1, OPN, ,   ,  -1,        0,       14,  10.  3.  5.176,   0, , 
06:F0:21:32:46:8B, 2024-12-20 21:51:24, 2024-12-20 21:51:24,  6, 195, WPA2, CCMP, MGT, -82,        1,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
AE:88:8C:70:4E:E3, 2024-12-20 21:50:15, 2024-12-20 21:52:34, -60,      954, 00:25:00:FF:94:73,
CE:F5:3C:3F:BE:38, 2024-12-20 21:50:15, 2024-12-20 21:52:34, -51,      551, 00:25:00:FF:94:73,
A2:7E:8B:CB:72:3F, 2024-12-20 21:50:15, 2024-12-20 21:52:34, -56,      562, 00:25:00:FF:94:73,
CA:57:44:56:50:22, 2024-12-20 21:50:15, 2024-12-20 21:50:15, -55,        1, (not associated) ,
A2:FC:22:C8:BA:DE, 2024-12-20 21:50:15, 2024-12-20 21:50:34, -75,       14, DE:4E:9E:06:BD:41,
3A:92:1C:77:5B:90, 2024-12-20 21:50:16, 2024-12-20 21:52:03, -85,       14, 00:25:00:FF:94:73,
0E:B9:20:74:0E:6E, 2024-12-20 21:50:16, 2024-12-20 21:50:43, -81,       29, 00:25:00:FF:94:73,
08:9D:F4:89:69:35, 2024-12-20 21:50:16, 2024-12-20 21:50:21, -65,       70, 08:9D:F4:89:69:35,Android s10+
C2:9D:E1:8D:62:24, 2024-12-20 21:50:17, 2024-12-20 21:52:34, -77,       77, 04:F0:21:24:2B:11,
A2:15:1B:DE:35:3B, 2024-12-20 21:50:21, 2024-12-20 21:52:12, -82,        8, 06:A0:68:AD:F3:0E,
A2:87:A4:71:74:F9, 2024-12-20 21:50:22, 2024-12-20 21:50:22, -43,        1, (not associated) ,
46:FC:9C:C3:2D:AD, 2024-12-20 21:50:22, 2024-12-20 21:50:22, -66,        1, 00:25:00:FF:94:73,
D6:D2:E5:34:9B:81, 2024-12-20 21:50:22, 2024-12-20 21:52:33, -80,       37, 04:F0:21:24:2B:11,
6A:87:01:4E:FA:6E, 2024-12-20 21:50:23, 2024-12-20 21:50:23, -68,        1, (not associated) ,
9E:DD:1D:8F:48:5D, 2024-12-20 21:50:25, 2024-12-20 21:50:25, -69,        1, (not associated) ,
6E:0A:2E:9A:EF:20, 2024-12-20 21:50:27, 2024-12-20 21:50:27, -39,        2, (not associated) ,
C6:FF:5D:F3:EE:E4, 2024-12-20 21:50:28, 2024-12-20 21:50:28, -36,        4, (not associated) ,
9E:25:19:49:24:B7, 2024-12-20 21:50:33, 2024-12-20 21:50:33, -77,        1, 00:25:00:FF:94:73,
32:A2:0D:AC:FC:2F, 2024-12-20 21:50:34, 2024-12-20 21:52:04, -84,        9, 04:F0:21:24:2B:11,
0A:22:31:58:FF:78, 2024-12-20 21:50:35, 2024-12-20 21:50:35, -62,        1, (not associated) ,
9C:2F:9D:78:48:91, 2024-12-20 21:50:39, 2024-12-20 21:52:31, -79,        8, 04:F0:21:24:2B:11,
B2:A8:4D:76:C5:F9, 2024-12-20 21:50:39, 2024-12-20 21:50:39, -54,        1, (not associated) ,
A2:24:7F:C0:5A:8C, 2024-12-20 21:50:43, 2024-12-20 21:51:32, -84,        3, 04:F0:21:24:2B:11,
8E:7E:69:99:BE:8D, 2024-12-20 21:50:49, 2024-12-20 21:50:49, -67,        1, (not associated) ,
06:C5:ED:B6:34:98, 2024-12-20 21:50:54, 2024-12-20 21:50:54, -37,        1, (not associated) ,
70:EE:50:95:EE:CC, 2024-12-20 21:50:55, 2024-12-20 21:50:55, -72,        4, 8C:97:EA:9C:91:80,
